step,tl_id,lane_idqueue_length
1571,0,2i_0,1
1571,0,1i_0,1
1572,0,4i_0,0
1572,0,3i_0,0
1572,0,2i_0,1
1572,0,1i_0,1
1573,0,4i_0,0
1573,0,3i_0,0
1573,0,2i_0,1
1573,0,1i_0,1
1574,0,4i_0,0
1574,0,3i_0,0
1574,0,2i_0,1
1574,0,1i_0,1
1575,0,4i_0,0
1575,0,3i_0,0
1575,0,2i_0,1
1575,0,1i_0,1
1576,0,4i_0,0
1576,0,3i_0,0
1576,0,2i_0,1
1576,0,1i_0,1
1577,0,4i_0,1
1577,0,3i_0,0
1577,0,2i_0,1
1577,0,1i_0,1
1578,0,4i_0,2
1578,0,3i_0,0
1578,0,2i_0,1
1578,0,1i_0,1
1579,0,4i_0,2
1579,0,3i_0,0
1579,0,2i_0,1
1579,0,1i_0,1
1580,0,4i_0,3
1580,0,3i_0,0
1580,0,2i_0,1
1580,0,1i_0,1
1581,0,4i_0,3
1581,0,3i_0,0
1581,0,2i_0,0
1581,0,1i_0,0
1582,0,4i_0,3
1582,0,3i_0,0
1582,0,2i_0,0
1582,0,1i_0,0
1583,0,4i_0,3
1583,0,3i_0,0
1583,0,2i_0,0
1583,0,1i_0,0
1584,0,4i_0,3
1584,0,3i_0,1
1584,0,2i_0,0
1584,0,1i_0,0
1585,0,4i_0,3
1585,0,3i_0,1
1585,0,2i_0,0
1585,0,1i_0,0
1586,0,4i_0,4
1586,0,3i_0,1
1586,0,2i_0,0
1586,0,1i_0,0
1587,0,4i_0,4
1587,0,3i_0,1
1587,0,2i_0,0
1587,0,1i_0,0
1588,0,4i_0,4
1588,0,3i_0,1
1588,0,2i_0,0
1588,0,1i_0,0
1589,0,4i_0,4
1589,0,3i_0,1
1589,0,2i_0,0
1589,0,1i_0,0
1590,0,4i_0,4
1590,0,3i_0,2
1590,0,2i_0,0
1590,0,1i_0,0
1591,0,4i_0,5
1591,0,3i_0,2
1591,0,2i_0,0
1591,0,1i_0,0
1592,0,4i_0,5
1592,0,3i_0,2
1592,0,2i_0,0
1592,0,1i_0,0
1593,0,4i_0,5
1593,0,3i_0,2
1593,0,2i_0,0
1593,0,1i_0,0
1594,0,4i_0,6
1594,0,3i_0,3
1594,0,2i_0,0
1594,0,1i_0,0
1595,0,4i_0,6
1595,0,3i_0,3
1595,0,2i_0,0
1595,0,1i_0,0
1596,0,4i_0,6
1596,0,3i_0,3
1596,0,2i_0,0
1596,0,1i_0,0
1597,0,4i_0,6
1597,0,3i_0,3
1597,0,2i_0,0
1597,0,1i_0,0
1598,0,4i_0,6
1598,0,3i_0,3
1598,0,2i_0,0
1598,0,1i_0,0
1599,0,4i_0,6
1599,0,3i_0,3
1599,0,2i_0,0
1599,0,1i_0,0
1600,0,4i_0,6
1600,0,3i_0,3
1600,0,2i_0,0
1600,0,1i_0,0
1601,0,4i_0,7
1601,0,3i_0,4
1601,0,2i_0,0
1601,0,1i_0,0
1602,0,4i_0,7
1602,0,3i_0,4
1602,0,2i_0,0
1602,0,1i_0,0
1603,0,4i_0,7
1603,0,3i_0,4
1603,0,2i_0,0
1603,0,1i_0,0
1604,0,4i_0,8
1604,0,3i_0,4
1604,0,2i_0,0
1604,0,1i_0,0
1605,0,4i_0,8
1605,0,3i_0,4
1605,0,2i_0,0
1605,0,1i_0,0
1606,0,4i_0,8
1606,0,3i_0,4
1606,0,2i_0,0
1606,0,1i_0,0
1607,0,4i_0,8
1607,0,3i_0,5
1607,0,2i_0,0
1607,0,1i_0,0
1608,0,4i_0,8
1608,0,3i_0,5
1608,0,2i_0,0
1608,0,1i_0,0
1609,0,4i_0,8
1609,0,3i_0,5
1609,0,2i_0,0
1609,0,1i_0,0
1610,0,4i_0,8
1610,0,3i_0,5
1610,0,2i_0,0
1610,0,1i_0,0
1611,0,4i_0,8
1611,0,3i_0,6
1611,0,2i_0,0
1611,0,1i_0,0
1612,0,4i_0,8
1612,0,3i_0,6
1612,0,2i_0,0
1612,0,1i_0,0
1613,0,4i_0,7
1613,0,3i_0,5
1613,0,2i_0,0
1613,0,1i_0,0
1614,0,4i_0,7
1614,0,3i_0,5
1614,0,2i_0,0
1614,0,1i_0,0
1615,0,4i_0,7
1615,0,3i_0,5
1615,0,2i_0,0
1615,0,1i_0,0
1616,0,4i_0,6
1616,0,3i_0,5
1616,0,2i_0,0
1616,0,1i_0,0
1617,0,4i_0,6
1617,0,3i_0,4
1617,0,2i_0,0
1617,0,1i_0,0
1618,0,4i_0,5
1618,0,3i_0,4
1618,0,2i_0,0
1618,0,1i_0,1
1619,0,4i_0,4
1619,0,3i_0,3
1619,0,2i_0,0
1619,0,1i_0,1
1620,0,4i_0,3
1620,0,3i_0,2
1620,0,2i_0,0
1620,0,1i_0,1
1621,0,4i_0,3
1621,0,3i_0,1
1621,0,2i_0,0
1621,0,1i_0,1
1622,0,4i_0,2
1622,0,3i_0,0
1622,0,2i_0,0
1622,0,1i_0,1
1623,0,4i_0,1
1623,0,3i_0,0
1623,0,2i_0,0
1623,0,1i_0,2
1624,0,4i_0,1
1624,0,3i_0,0
1624,0,2i_0,0
1624,0,1i_0,2
1625,0,4i_0,0
1625,0,3i_0,0
1625,0,2i_0,0
1625,0,1i_0,2
1626,0,4i_0,0
1626,0,3i_0,0
1626,0,2i_0,0
1626,0,1i_0,3
1627,0,4i_0,0
1627,0,3i_0,0
1627,0,2i_0,0
1627,0,1i_0,3
1628,0,4i_0,0
1628,0,3i_0,0
1628,0,2i_0,0
1628,0,1i_0,3
1629,0,4i_0,0
1629,0,3i_0,0
1629,0,2i_0,0
1629,0,1i_0,3
1630,0,4i_0,0
1630,0,3i_0,0
1630,0,2i_0,0
1630,0,1i_0,3
1631,0,4i_0,0
1631,0,3i_0,0
1631,0,2i_0,0
1631,0,1i_0,3
1632,0,4i_0,0
1632,0,3i_0,0
1632,0,2i_0,0
1632,0,1i_0,4
1633,0,4i_0,0
1633,0,3i_0,0
1633,0,2i_0,0
1633,0,1i_0,4
1634,0,4i_0,0
1634,0,3i_0,0
1634,0,2i_0,0
1634,0,1i_0,4
1635,0,4i_0,0
1635,0,3i_0,0
1635,0,2i_0,0
1635,0,1i_0,4
1636,0,4i_0,0
1636,0,3i_0,0
1636,0,2i_0,0
1636,0,1i_0,4
1637,0,4i_0,0
1637,0,3i_0,0
1637,0,2i_0,0
1637,0,1i_0,4
1638,0,4i_0,0
1638,0,3i_0,0
1638,0,2i_0,0
1638,0,1i_0,4
1639,0,4i_0,0
1639,0,3i_0,0
1639,0,2i_0,0
1639,0,1i_0,4
1640,0,4i_0,0
1640,0,3i_0,0
1640,0,2i_0,0
1640,0,1i_0,4
1641,0,4i_0,0
1641,0,3i_0,0
1641,0,2i_0,0
1641,0,1i_0,4
1642,0,4i_0,0
1642,0,3i_0,0
1642,0,2i_0,0
1642,0,1i_0,4
1643,0,4i_0,0
1643,0,3i_0,0
1643,0,2i_0,0
1643,0,1i_0,4
1644,0,4i_0,0
1644,0,3i_0,0
1644,0,2i_0,0
1644,0,1i_0,4
1645,0,4i_0,0
1645,0,3i_0,0
1645,0,2i_0,0
1645,0,1i_0,4
1646,0,4i_0,0
1646,0,3i_0,0
1646,0,2i_0,0
1646,0,1i_0,4
1647,0,4i_0,0
1647,0,3i_0,0
1647,0,2i_0,0
1647,0,1i_0,4
1648,0,4i_0,0
1648,0,3i_0,0
1648,0,2i_0,0
1648,0,1i_0,4
1649,0,4i_0,0
1649,0,3i_0,0
1649,0,2i_0,0
1649,0,1i_0,4
1650,0,4i_0,0
1650,0,3i_0,0
1650,0,2i_0,0
1650,0,1i_0,4
1651,0,4i_0,0
1651,0,3i_0,0
1651,0,2i_0,0
1651,0,1i_0,4
1652,0,4i_0,0
1652,0,3i_0,0
1652,0,2i_0,0
1652,0,1i_0,4
1653,0,4i_0,0
1653,0,3i_0,0
1653,0,2i_0,0
1653,0,1i_0,4
1654,0,4i_0,0
1654,0,3i_0,0
1654,0,2i_0,0
1654,0,1i_0,4
1655,0,4i_0,0
1655,0,3i_0,0
1655,0,2i_0,0
1655,0,1i_0,4
1656,0,4i_0,0
1656,0,3i_0,0
1656,0,2i_0,0
1656,0,1i_0,4
1657,0,4i_0,0
1657,0,3i_0,0
1657,0,2i_0,0
1657,0,1i_0,4
1658,0,4i_0,0
1658,0,3i_0,0
1658,0,2i_0,0
1658,0,1i_0,4
1659,0,4i_0,0
1659,0,3i_0,0
1659,0,2i_0,1
1659,0,1i_0,4
1660,0,4i_0,0
1660,0,3i_0,0
1660,0,2i_0,1
1660,0,1i_0,4
1661,0,4i_0,0
1661,0,3i_0,0
1661,0,2i_0,1
1661,0,1i_0,4
1662,0,4i_0,0
1662,0,3i_0,0
1662,0,2i_0,1
1662,0,1i_0,4
1663,0,4i_0,0
1663,0,3i_0,0
1663,0,2i_0,0
1663,0,1i_0,3
1664,0,4i_0,0
1664,0,3i_0,0
1664,0,2i_0,0
1664,0,1i_0,3
1665,0,4i_0,1
1665,0,3i_0,0
1665,0,2i_0,0
1665,0,1i_0,3
1666,0,4i_0,1
1666,0,3i_0,0
1666,0,2i_0,0
1666,0,1i_0,3
1667,0,4i_0,1
1667,0,3i_0,0
1667,0,2i_0,0
1667,0,1i_0,2
1668,0,4i_0,1
1668,0,3i_0,0
1668,0,2i_0,0
1668,0,1i_0,2
1669,0,4i_0,1
1669,0,3i_0,0
1669,0,2i_0,0
1669,0,1i_0,0
1670,0,4i_0,1
1670,0,3i_0,0
1670,0,2i_0,0
1670,0,1i_0,0
1671,0,4i_0,1
1671,0,3i_0,0
1671,0,2i_0,0
1671,0,1i_0,0
1672,0,4i_0,1
1672,0,3i_0,0
1672,0,2i_0,0
1672,0,1i_0,0
1673,0,4i_0,1
1673,0,3i_0,0
1673,0,2i_0,0
1673,0,1i_0,0
1674,0,4i_0,1
1674,0,3i_0,0
1674,0,2i_0,0
1674,0,1i_0,0
1675,0,4i_0,1
1675,0,3i_0,0
1675,0,2i_0,0
1675,0,1i_0,0
1676,0,4i_0,1
1676,0,3i_0,0
1676,0,2i_0,0
1676,0,1i_0,0
1677,0,4i_0,1
1677,0,3i_0,0
1677,0,2i_0,0
1677,0,1i_0,0
1678,0,4i_0,1
1678,0,3i_0,0
1678,0,2i_0,0
1678,0,1i_0,0
1679,0,4i_0,1
1679,0,3i_0,0
1679,0,2i_0,0
1679,0,1i_0,0
1680,0,4i_0,1
1680,0,3i_0,1
1680,0,2i_0,0
1680,0,1i_0,0
1681,0,4i_0,1
1681,0,3i_0,1
1681,0,2i_0,0
1681,0,1i_0,0
1682,0,4i_0,1
1682,0,3i_0,1
1682,0,2i_0,0
1682,0,1i_0,0
1683,0,4i_0,1
1683,0,3i_0,1
1683,0,2i_0,0
1683,0,1i_0,0
1684,0,4i_0,1
1684,0,3i_0,1
1684,0,2i_0,0
1684,0,1i_0,0
1685,0,4i_0,1
1685,0,3i_0,1
1685,0,2i_0,0
1685,0,1i_0,0
1686,0,4i_0,2
1686,0,3i_0,1
1686,0,2i_0,0
1686,0,1i_0,0
1687,0,4i_0,2
1687,0,3i_0,1
1687,0,2i_0,0
1687,0,1i_0,0
1688,0,4i_0,2
1688,0,3i_0,1
1688,0,2i_0,0
1688,0,1i_0,0
1689,0,4i_0,2
1689,0,3i_0,1
1689,0,2i_0,0
1689,0,1i_0,0
1690,0,4i_0,2
1690,0,3i_0,1
1690,0,2i_0,0
1690,0,1i_0,0
1691,0,4i_0,2
1691,0,3i_0,1
1691,0,2i_0,0
1691,0,1i_0,0
1692,0,4i_0,3
1692,0,3i_0,1
1692,0,2i_0,0
1692,0,1i_0,0
1693,0,4i_0,3
1693,0,3i_0,1
1693,0,2i_0,0
1693,0,1i_0,0
1694,0,4i_0,3
1694,0,3i_0,2
1694,0,2i_0,0
1694,0,1i_0,0
1695,0,4i_0,3
1695,0,3i_0,2
1695,0,2i_0,0
1695,0,1i_0,0
1696,0,4i_0,3
1696,0,3i_0,2
1696,0,2i_0,0
1696,0,1i_0,0
1697,0,4i_0,3
1697,0,3i_0,2
1697,0,2i_0,0
1697,0,1i_0,0
1698,0,4i_0,3
1698,0,3i_0,2
1698,0,2i_0,0
1698,0,1i_0,0
1699,0,4i_0,3
1699,0,3i_0,2
1699,0,2i_0,0
1699,0,1i_0,0
1700,0,4i_0,3
1700,0,3i_0,2
1700,0,2i_0,0
1700,0,1i_0,0
1701,0,4i_0,3
1701,0,3i_0,2
1701,0,2i_0,0
1701,0,1i_0,0
1702,0,4i_0,3
1702,0,3i_0,2
1702,0,2i_0,0
1702,0,1i_0,0
1703,0,4i_0,4
1703,0,3i_0,2
1703,0,2i_0,0
1703,0,1i_0,0
1704,0,4i_0,4
1704,0,3i_0,2
1704,0,2i_0,0
1704,0,1i_0,0
1705,0,4i_0,4
1705,0,3i_0,2
1705,0,2i_0,0
1705,0,1i_0,0
1706,0,4i_0,4
1706,0,3i_0,2
1706,0,2i_0,0
1706,0,1i_0,0
1707,0,4i_0,3
1707,0,3i_0,2
1707,0,2i_0,0
1707,0,1i_0,0
1708,0,4i_0,3
1708,0,3i_0,2
1708,0,2i_0,0
1708,0,1i_0,0
1709,0,4i_0,3
1709,0,3i_0,2
1709,0,2i_0,0
1709,0,1i_0,0
1710,0,4i_0,2
1710,0,3i_0,1
1710,0,2i_0,0
1710,0,1i_0,1
1711,0,4i_0,2
1711,0,3i_0,0
1711,0,2i_0,0
1711,0,1i_0,1
1712,0,4i_0,1
1712,0,3i_0,0
1712,0,2i_0,0
1712,0,1i_0,1
1713,0,4i_0,0
1713,0,3i_0,0
1713,0,2i_0,0
1713,0,1i_0,1
1714,0,4i_0,0
1714,0,3i_0,0
1714,0,2i_0,0
1714,0,1i_0,1
1715,0,4i_0,0
1715,0,3i_0,0
1715,0,2i_0,0
1715,0,1i_0,2
1716,0,4i_0,0
1716,0,3i_0,0
1716,0,2i_0,0
1716,0,1i_0,2
1717,0,4i_0,0
1717,0,3i_0,0
1717,0,2i_0,0
1717,0,1i_0,2
1718,0,4i_0,0
1718,0,3i_0,0
1718,0,2i_0,0
1718,0,1i_0,2
1719,0,4i_0,0
1719,0,3i_0,0
1719,0,2i_0,0
1719,0,1i_0,2
1720,0,4i_0,0
1720,0,3i_0,0
1720,0,2i_0,0
1720,0,1i_0,2
1721,0,4i_0,0
1721,0,3i_0,0
1721,0,2i_0,1
1721,0,1i_0,2
1722,0,4i_0,0
1722,0,3i_0,0
1722,0,2i_0,1
1722,0,1i_0,2
1723,0,4i_0,0
1723,0,3i_0,0
1723,0,2i_0,1
1723,0,1i_0,2
1724,0,4i_0,0
1724,0,3i_0,0
1724,0,2i_0,1
1724,0,1i_0,2
1725,0,4i_0,0
1725,0,3i_0,0
1725,0,2i_0,1
1725,0,1i_0,2
1726,0,4i_0,0
1726,0,3i_0,0
1726,0,2i_0,1
1726,0,1i_0,2
1727,0,4i_0,0
1727,0,3i_0,0
1727,0,2i_0,1
1727,0,1i_0,2
1728,0,4i_0,0
1728,0,3i_0,0
1728,0,2i_0,1
1728,0,1i_0,2
1729,0,4i_0,0
1729,0,3i_0,0
1729,0,2i_0,1
1729,0,1i_0,2
1730,0,4i_0,0
1730,0,3i_0,0
1730,0,2i_0,1
1730,0,1i_0,2
1731,0,4i_0,0
1731,0,3i_0,0
1731,0,2i_0,1
1731,0,1i_0,2
1732,0,4i_0,0
1732,0,3i_0,0
1732,0,2i_0,1
1732,0,1i_0,3
1733,0,4i_0,0
1733,0,3i_0,0
1733,0,2i_0,1
1733,0,1i_0,3
1734,0,4i_0,0
1734,0,3i_0,0
1734,0,2i_0,1
1734,0,1i_0,3
1735,0,4i_0,0
1735,0,3i_0,0
1735,0,2i_0,1
1735,0,1i_0,3
1736,0,4i_0,0
1736,0,3i_0,0
1736,0,2i_0,1
1736,0,1i_0,3
1737,0,4i_0,0
1737,0,3i_0,0
1737,0,2i_0,1
1737,0,1i_0,3
1738,0,4i_0,0
1738,0,3i_0,0
1738,0,2i_0,1
1738,0,1i_0,3
1739,0,4i_0,0
1739,0,3i_0,0
1739,0,2i_0,1
1739,0,1i_0,3
1740,0,4i_0,0
1740,0,3i_0,0
1740,0,2i_0,1
1740,0,1i_0,3
1741,0,4i_0,0
1741,0,3i_0,0
1741,0,2i_0,1
1741,0,1i_0,3
1742,0,4i_0,0
1742,0,3i_0,0
1742,0,2i_0,1
1742,0,1i_0,3
1743,0,4i_0,0
1743,0,3i_0,0
1743,0,2i_0,1
1743,0,1i_0,3
1744,0,4i_0,0
1744,0,3i_0,0
1744,0,2i_0,1
1744,0,1i_0,3
1745,0,4i_0,0
1745,0,3i_0,0
1745,0,2i_0,1
1745,0,1i_0,3
1746,0,4i_0,0
1746,0,3i_0,0
1746,0,2i_0,1
1746,0,1i_0,3
1747,0,4i_0,0
1747,0,3i_0,0
1747,0,2i_0,1
1747,0,1i_0,3
1748,0,4i_0,0
1748,0,3i_0,0
1748,0,2i_0,1
1748,0,1i_0,3
1749,0,4i_0,0
1749,0,3i_0,0
1749,0,2i_0,1
1749,0,1i_0,3
1750,0,4i_0,0
1750,0,3i_0,0
1750,0,2i_0,1
1750,0,1i_0,3
1751,0,4i_0,0
1751,0,3i_0,0
1751,0,2i_0,1
1751,0,1i_0,3
1752,0,4i_0,0
1752,0,3i_0,0
1752,0,2i_0,1
1752,0,1i_0,3
1753,0,4i_0,0
1753,0,3i_0,0
1753,0,2i_0,1
1753,0,1i_0,3
1754,0,4i_0,0
1754,0,3i_0,0
1754,0,2i_0,1
1754,0,1i_0,3
1755,0,4i_0,0
1755,0,3i_0,0
1755,0,2i_0,1
1755,0,1i_0,3
1756,0,4i_0,0
1756,0,3i_0,0
1756,0,2i_0,2
1756,0,1i_0,4
1757,0,4i_0,0
1757,0,3i_0,0
1757,0,2i_0,2
1757,0,1i_0,4
1758,0,4i_0,0
1758,0,3i_0,0
1758,0,2i_0,2
1758,0,1i_0,5
1759,0,4i_0,0
1759,0,3i_0,0
1759,0,2i_0,2
1759,0,1i_0,5
1760,0,4i_0,0
1760,0,3i_0,0
1760,0,2i_0,2
1760,0,1i_0,5
1761,0,4i_0,0
1761,0,3i_0,0
1761,0,2i_0,2
1761,0,1i_0,5
1762,0,4i_0,0
1762,0,3i_0,0
1762,0,2i_0,2
1762,0,1i_0,5
1763,0,4i_0,0
1763,0,3i_0,0
1763,0,2i_0,2
1763,0,1i_0,6
1764,0,4i_0,0
1764,0,3i_0,0
1764,0,2i_0,2
1764,0,1i_0,6
1765,0,4i_0,0
1765,0,3i_0,0
1765,0,2i_0,2
1765,0,1i_0,6
1766,0,4i_0,0
1766,0,3i_0,0
1766,0,2i_0,2
1766,0,1i_0,6
1767,0,4i_0,0
1767,0,3i_0,0
1767,0,2i_0,2
1767,0,1i_0,6
1768,0,4i_0,0
1768,0,3i_0,0
1768,0,2i_0,2
1768,0,1i_0,6
1769,0,4i_0,0
1769,0,3i_0,0
1769,0,2i_0,2
1769,0,1i_0,6
1770,0,4i_0,0
1770,0,3i_0,0
1770,0,2i_0,2
1770,0,1i_0,6
1771,0,4i_0,0
1771,0,3i_0,0
1771,0,2i_0,2
1771,0,1i_0,6
1772,0,4i_0,0
1772,0,3i_0,0
1772,0,2i_0,2
1772,0,1i_0,6
1773,0,4i_0,0
1773,0,3i_0,0
1773,0,2i_0,2
1773,0,1i_0,7
1774,0,4i_0,0
1774,0,3i_0,0
1774,0,2i_0,2
1774,0,1i_0,7
1775,0,4i_0,0
1775,0,3i_0,0
1775,0,2i_0,3
1775,0,1i_0,7
1776,0,4i_0,0
1776,0,3i_0,0
1776,0,2i_0,3
1776,0,1i_0,7
1777,0,4i_0,0
1777,0,3i_0,0
1777,0,2i_0,3
1777,0,1i_0,7
1778,0,4i_0,0
1778,0,3i_0,0
1778,0,2i_0,2
1778,0,1i_0,6
1779,0,4i_0,1
1779,0,3i_0,0
1779,0,2i_0,2
1779,0,1i_0,6
1780,0,4i_0,1
1780,0,3i_0,0
1780,0,2i_0,2
1780,0,1i_0,6
1781,0,4i_0,1
1781,0,3i_0,0
1781,0,2i_0,1
1781,0,1i_0,5
1782,0,4i_0,1
1782,0,3i_0,0
1782,0,2i_0,0
1782,0,1i_0,4
1783,0,4i_0,2
1783,0,3i_0,0
1783,0,2i_0,0
1783,0,1i_0,4
1784,0,4i_0,2
1784,0,3i_0,0
1784,0,2i_0,0
1784,0,1i_0,3
1785,0,4i_0,2
1785,0,3i_0,0
1785,0,2i_0,0
1785,0,1i_0,2
1786,0,4i_0,2
1786,0,3i_0,0
1786,0,2i_0,0
1786,0,1i_0,1
1787,0,4i_0,3
1787,0,3i_0,0
1787,0,2i_0,0
1787,0,1i_0,1
1788,0,4i_0,3
1788,0,3i_0,0
1788,0,2i_0,0
1788,0,1i_0,0
1789,0,4i_0,3
1789,0,3i_0,0
1789,0,2i_0,0
1789,0,1i_0,0
1790,0,4i_0,3
1790,0,3i_0,0
1790,0,2i_0,0
1790,0,1i_0,0
1791,0,4i_0,3
1791,0,3i_0,0
1791,0,2i_0,0
1791,0,1i_0,0
1792,0,4i_0,4
1792,0,3i_0,0
1792,0,2i_0,0
1792,0,1i_0,0
1793,0,4i_0,4
1793,0,3i_0,0
1793,0,2i_0,0
1793,0,1i_0,0
1794,0,4i_0,4
1794,0,3i_0,0
1794,0,2i_0,0
1794,0,1i_0,0
1795,0,4i_0,4
1795,0,3i_0,0
1795,0,2i_0,0
1795,0,1i_0,0
1796,0,4i_0,4
1796,0,3i_0,0
1796,0,2i_0,0
1796,0,1i_0,0
1797,0,4i_0,4
1797,0,3i_0,0
1797,0,2i_0,0
1797,0,1i_0,0
1798,0,4i_0,5
1798,0,3i_0,0
1798,0,2i_0,0
1798,0,1i_0,0
1799,0,4i_0,5
1799,0,3i_0,0
1799,0,2i_0,0
1799,0,1i_0,0
1800,0,4i_0,5
1800,0,3i_0,0
1800,0,2i_0,0
1800,0,1i_0,0
1801,0,4i_0,5
1801,0,3i_0,0
1801,0,2i_0,0
1801,0,1i_0,0
1802,0,4i_0,5
1802,0,3i_0,0
1802,0,2i_0,0
1802,0,1i_0,0
1803,0,4i_0,5
1803,0,3i_0,0
1803,0,2i_0,0
1803,0,1i_0,0
1804,0,4i_0,5
1804,0,3i_0,0
1804,0,2i_0,0
1804,0,1i_0,0
1805,0,4i_0,5
1805,0,3i_0,0
1805,0,2i_0,0
1805,0,1i_0,0
1806,0,4i_0,6
1806,0,3i_0,0
1806,0,2i_0,0
1806,0,1i_0,0
1807,0,4i_0,6
1807,0,3i_0,0
1807,0,2i_0,0
1807,0,1i_0,0
1808,0,4i_0,6
1808,0,3i_0,0
1808,0,2i_0,0
1808,0,1i_0,0
1809,0,4i_0,6
1809,0,3i_0,1
1809,0,2i_0,0
1809,0,1i_0,0
1810,0,4i_0,6
1810,0,3i_0,1
1810,0,2i_0,0
1810,0,1i_0,0
1811,0,4i_0,6
1811,0,3i_0,1
1811,0,2i_0,0
1811,0,1i_0,0
1812,0,4i_0,7
1812,0,3i_0,1
1812,0,2i_0,0
1812,0,1i_0,0
1813,0,4i_0,7
1813,0,3i_0,1
1813,0,2i_0,0
1813,0,1i_0,0
1814,0,4i_0,7
1814,0,3i_0,1
1814,0,2i_0,0
1814,0,1i_0,0
1815,0,4i_0,7
1815,0,3i_0,1
1815,0,2i_0,0
1815,0,1i_0,0
1816,0,4i_0,7
1816,0,3i_0,1
1816,0,2i_0,0
1816,0,1i_0,0
1817,0,4i_0,7
1817,0,3i_0,1
1817,0,2i_0,0
1817,0,1i_0,0
1818,0,4i_0,7
1818,0,3i_0,1
1818,0,2i_0,0
1818,0,1i_0,0
1819,0,4i_0,7
1819,0,3i_0,1
1819,0,2i_0,0
1819,0,1i_0,0
1820,0,4i_0,7
1820,0,3i_0,1
1820,0,2i_0,0
1820,0,1i_0,0
1821,0,4i_0,7
1821,0,3i_0,1
1821,0,2i_0,0
1821,0,1i_0,0
1822,0,4i_0,7
1822,0,3i_0,1
1822,0,2i_0,0
1822,0,1i_0,0
1823,0,4i_0,7
1823,0,3i_0,1
1823,0,2i_0,0
1823,0,1i_0,0
1824,0,4i_0,7
1824,0,3i_0,2
1824,0,2i_0,0
1824,0,1i_0,0
1825,0,4i_0,7
1825,0,3i_0,2
1825,0,2i_0,0
1825,0,1i_0,0
1826,0,4i_0,7
1826,0,3i_0,2
1826,0,2i_0,0
1826,0,1i_0,0
1827,0,4i_0,7
1827,0,3i_0,2
1827,0,2i_0,0
1827,0,1i_0,0
1828,0,4i_0,7
1828,0,3i_0,2
1828,0,2i_0,0
1828,0,1i_0,0
1829,0,4i_0,7
1829,0,3i_0,2
1829,0,2i_0,0
1829,0,1i_0,0
1830,0,4i_0,7
1830,0,3i_0,2
1830,0,2i_0,0
1830,0,1i_0,0
1831,0,4i_0,7
1831,0,3i_0,2
1831,0,2i_0,0
1831,0,1i_0,0
1832,0,4i_0,7
1832,0,3i_0,2
1832,0,2i_0,0
1832,0,1i_0,0
1833,0,4i_0,7
1833,0,3i_0,2
1833,0,2i_0,0
1833,0,1i_0,0
1834,0,4i_0,7
1834,0,3i_0,2
1834,0,2i_0,0
1834,0,1i_0,0
1835,0,4i_0,7
1835,0,3i_0,2
1835,0,2i_0,0
1835,0,1i_0,0
1836,0,4i_0,7
1836,0,3i_0,2
1836,0,2i_0,0
1836,0,1i_0,0
1837,0,4i_0,7
1837,0,3i_0,2
1837,0,2i_0,0
1837,0,1i_0,0
1838,0,4i_0,8
1838,0,3i_0,2
1838,0,2i_0,0
1838,0,1i_0,0
1839,0,4i_0,8
1839,0,3i_0,3
1839,0,2i_0,0
1839,0,1i_0,0
1840,0,4i_0,8
1840,0,3i_0,3
1840,0,2i_0,0
1840,0,1i_0,0
1841,0,4i_0,8
1841,0,3i_0,3
1841,0,2i_0,0
1841,0,1i_0,0
1842,0,4i_0,8
1842,0,3i_0,4
1842,0,2i_0,0
1842,0,1i_0,0
1843,0,4i_0,8
1843,0,3i_0,3
1843,0,2i_0,0
1843,0,1i_0,0
1844,0,4i_0,8
1844,0,3i_0,3
1844,0,2i_0,0
1844,0,1i_0,0
1845,0,4i_0,8
1845,0,3i_0,3
1845,0,2i_0,0
1845,0,1i_0,0
1846,0,4i_0,8
1846,0,3i_0,3
1846,0,2i_0,0
1846,0,1i_0,0
1847,0,4i_0,8
1847,0,3i_0,3
1847,0,2i_0,0
1847,0,1i_0,0
1848,0,4i_0,8
1848,0,3i_0,4
1848,0,2i_0,0
1848,0,1i_0,0
1849,0,4i_0,8
1849,0,3i_0,4
1849,0,2i_0,0
1849,0,1i_0,0
1850,0,4i_0,9
1850,0,3i_0,4
1850,0,2i_0,0
1850,0,1i_0,0
1851,0,4i_0,9
1851,0,3i_0,4
1851,0,2i_0,0
1851,0,1i_0,0
1852,0,4i_0,9
1852,0,3i_0,4
1852,0,2i_0,0
1852,0,1i_0,0
1853,0,4i_0,9
1853,0,3i_0,5
1853,0,2i_0,0
1853,0,1i_0,0
1854,0,4i_0,10
1854,0,3i_0,5
1854,0,2i_0,0
1854,0,1i_0,0
1855,0,4i_0,10
1855,0,3i_0,5
1855,0,2i_0,0
1855,0,1i_0,0
1856,0,4i_0,10
1856,0,3i_0,5
1856,0,2i_0,0
1856,0,1i_0,0
1857,0,4i_0,10
1857,0,3i_0,6
1857,0,2i_0,0
1857,0,1i_0,0
1858,0,4i_0,10
1858,0,3i_0,6
1858,0,2i_0,0
1858,0,1i_0,0
1859,0,4i_0,10
1859,0,3i_0,6
1859,0,2i_0,0
1859,0,1i_0,0
1860,0,4i_0,10
1860,0,3i_0,7
1860,0,2i_0,0
1860,0,1i_0,0
1861,0,4i_0,10
1861,0,3i_0,7
1861,0,2i_0,0
1861,0,1i_0,0
1862,0,4i_0,10
1862,0,3i_0,7
1862,0,2i_0,0
